"T","W","SR","DSP","DRH","PanE"
"26.6","3.813","757","100.1","30","13.5"
"28.9","3.312","746.9","100.1","32","13.4"
"29.4","4.155","729.6","100.1","31","14.3"
"30.3","2.706","726.2","99.8","31","12.8"
"31","3.968","740.1","99.5","33","14.4"
"27.5","3.681","756.9","100.1","31","13.3"
"25.7","4.227","739.7","100.4","40","12.2"
"26.5","3.845","732.9","100.2","43","11.8"
"27.4","5.198","743.7","100.1","39","13.9"
"26.8","4.054","739.5","100.2","41","12.4"
"30","2.902","717.5","100.2","39","12.3"
"32.3","2.756","716.2","100.1","36","12.7"
"33.1","2.847","713.7","100","35","13.4"
"31.9","2.802","707.1","99.8","30","13.3"
"32.5","3.198","705.7","100.1","35","13.1"
"32.6","3.248","684.2","100.4","31","13.4"
"32.9","3.079","670.1","100.1","32","13.2"
"33","3.034","645.2","100","34","12.6"
"32.3","3.74","687.8","100.3","37","13.5"
"32.4","3.663","682.4","100.3","36","13.6"
"32.7","3.899","688.9","100","35","13.9"
"33","4.077","701.2","100.1","31","14.9"
"31.9","3.808","710.8","100.3","31","14.3"
"31.2","2.852","673.3","100.1","33","12.3"
"32.1","3.148","680.2","100","33","12.8"
"28.8","3.243","681.7","100.2","36","11.9"
"28","3.913","690.9","99.9","35","12.4"
"28.1","3.599","674.4","99.9","33","12"
"25.8","3.694","677.2","100.3","45","10.5"
"27.6","3.271","566.5","100.2","41","9.6"
"26.6","4.095","667.8","99.9","39","11.2"
"23.2","3.48","648.9","100.2","46","9.1"
"24.4","2.893","680","100.2","42","9.6"
"27.1","3.831","685.6","100.1","33","12"
"28","3.152","671.3","99.9","32","11.7"
"27.4","2.542","665.4","99.7","27","11.2"
"24.8","2.729","653.5","99.8","41","9.4"
"22.7","3.48","664","100.1","44","9.1"
"22.2","3.33","666","100.2","42","9.3"
"22.8","3.28","665","100.1","36","9.9"
"23","2.838","673.3","100.1","40","9.1"
"25.7","3.043","664.2","99.9","37","10.4"
"27.7","3.599","656.8","99.9","31","12"
"28.1","2.843","656.8","99.8","29","11.5"
"28.8","2.419","638.5","99.5","30","10.8"
"27.9","3.011","622.7","99.3","33","10.8"
"26.6","3.23","626.9","99.5","34","10.7"
"26.4","3.294","612.9","100","37","10.2"
"27.8","3.216","603","100.2","37","10.8"
"29","2.688","491.8","100.3","31","9.8"
"29.1","2.382","410","100.1","35","8.1"
"31.8","3.303","554.9","99.5","27","12"
"31.9","3.517","546.2","99.5","27","12.3"
"30.9","3.508","560.8","99.7","30","12.3"
"30.6","3.102","569.7","99.7","31","11.7"
"32","2.774","556.6","99.3","30","11.1"
"32","2.683","576","99.4","30","11.5"
